wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
922,56.55,55.9,61.0,57.96666666666667,61.025000000000006,55.260000000000005
923,56.599999999999994,55.9,60.77499999999999,57.96666666666667,61.025000000000006,55.279999999999994
924,56.675,55.875,60.575,57.96666666666667,61.05,55.260000000000005
925,56.725,55.800000000000004,60.400000000000006,58.03333333333333,61.025000000000006,55.239999999999995
926,56.775,55.800000000000004,60.15,58.03333333333333,61.05,55.17999999999999
927,56.925,55.825,59.95,58.06666666666666,61.025000000000006,55.11999999999999
928,57.050000000000004,55.9,59.95,58.03333333333333,61.05,55.11999999999999
929,57.050000000000004,55.875,59.9,58.03333333333334,61.075,55.05999999999999
930,57.050000000000004,55.875,59.875,58.133333333333326,61.05,55.04
931,57.0,55.875,59.575,58.1,61.075,55.0
932,57.025,55.825,59.5,58.03333333333333,61.05,55.0
933,57.025,55.849999999999994,59.425,58.06666666666666,61.075,54.98
934,57.075,55.849999999999994,59.425,58.166666666666664,61.10000000000001,55.019999999999996
935,57.075,55.849999999999994,59.39999999999999,58.29999999999999,61.125,55.019999999999996
936,57.125,55.849999999999994,59.37499999999999,58.29999999999999,61.150000000000006,55.0
937,57.25,55.8,59.349999999999994,58.333333333333336,61.150000000000006,55.0
938,57.425000000000004,55.8,59.2,58.29999999999999,61.125,55.0
939,57.475,55.849999999999994,58.9,58.43333333333334,61.075,54.96
940,57.475,55.849999999999994,58.9,58.4,61.125,54.96
941,57.45,55.925,58.95,58.36666666666667,61.15,55.04
942,57.324999999999996,56.05,59.37499999999999,58.29999999999999,61.25,55.14
943,57.224999999999994,56.125,59.675,58.23333333333333,61.3,55.21999999999999
944,57.35,56.150000000000006,59.800000000000004,58.26666666666667,61.375,55.3
945,57.375,56.150000000000006,59.85,58.36666666666667,61.4,55.279999999999994
946,57.37500000000001,56.125,59.85,58.43333333333334,61.474999999999994,55.220000000000006
947,57.35,56.175,59.900000000000006,58.4,61.474999999999994,55.260000000000005
948,57.375,56.175,59.87500000000001,58.43333333333334,61.425,55.279999999999994
949,57.425,56.14999999999999,59.9,58.46666666666667,61.525,55.279999999999994
950,56.675,55.349999999999994,58.975,57.70000000000001,60.625,54.48
951,55.9,54.475,57.8,56.76666666666667,59.675000000000004,53.6
952,55.775,54.45,57.3,56.46666666666667,59.25,53.4
953,55.449999999999996,54.45,57.224999999999994,56.333333333333336,59.150000000000006,53.4
954,55.325,54.325,57.2,56.166666666666664,59.1,53.32000000000001
955,55.025000000000006,54.224999999999994,57.22500000000001,55.86666666666667,58.775,53.3
956,54.725,53.95,57.175,55.666666666666664,58.575,53.11999999999999
957,54.475,53.724999999999994,57.05,55.43333333333334,58.375,52.839999999999996
958,54.325,53.425,56.85,55.29999999999999,58.175000000000004,52.48
959,54.175000000000004,53.25,56.5,55.0,58.075,52.260000000000005
960,54.05,53.075,56.275,54.9,58.0,52.160000000000004
961,53.949999999999996,52.975,56.175,54.70000000000001,57.875,51.999999999999986
962,53.9,52.925000000000004,55.87500000000001,54.63333333333333,57.725,51.98
963,53.824999999999996,52.875,55.675,54.56666666666666,57.60000000000001,51.839999999999996
964,53.7,52.7,55.650000000000006,54.53333333333333,57.60000000000001,51.720000000000006
965,53.60000000000001,52.575,55.55,54.43333333333334,57.525000000000006,51.52
966,53.5,52.474999999999994,55.325,54.26666666666667,57.3,51.34000000000001
967,53.375,52.175,55.074999999999996,54.0,57.125,51.1
968,53.10000000000001,51.975,54.849999999999994,53.900000000000006,56.875,50.94
969,52.949999999999996,51.7,54.4,53.43333333333334,56.6,50.699999999999996
970,52.60000000000001,51.4,53.875,53.20000000000001,56.125,50.3
971,52.425000000000004,51.275000000000006,53.825,53.06666666666666,56.0,50.239999999999995
972,52.425000000000004,51.375,53.85,53.1,56.05,50.32
973,52.675,51.47500000000001,54.1,53.13333333333333,56.199999999999996,50.480000000000004
974,52.8,51.650000000000006,54.25,53.20000000000001,56.35,50.6
975,52.949999999999996,51.775,54.7,53.400000000000006,56.475,50.8
976,52.975,51.825,54.75,53.43333333333334,56.5,50.92
977,52.975,52.0,54.875,53.53333333333333,56.6,50.92
978,53.2,52.125,54.875,53.6,56.699999999999996,51.040000000000006
979,53.575,52.39999999999999,55.050000000000004,53.93333333333334,57.199999999999996,51.3
980,54.075,53.075,55.199999999999996,54.93333333333334,58.074999999999996,51.56
981,54.975,53.9,55.800000000000004,55.4,58.425,52.379999999999995
982,55.35,54.474999999999994,56.925,56.166666666666664,59.025,52.68000000000001
983,55.825,55.349999999999994,57.55,56.300000000000004,59.3,53.52
984,55.675,55.325,58.4,56.4,59.85,53.88000000000001
985,55.400000000000006,55.025000000000006,58.75,56.03333333333333,59.5,53.90000000000001
986,54.325,54.375,58.975,55.5,58.9,53.5
987,53.825,53.525,58.0,55.0,58.150000000000006,52.65999999999999
988,53.325,52.775,56.775000000000006,54.26666666666667,57.55,51.879999999999995
989,53.3,52.7,56.25,54.03333333333334,57.349999999999994,51.7
990,53.325,52.75,56.125,53.96666666666666,57.325,51.68000000000001
