Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
948,65.65,59.65,56.32,56.32,58.65,58.58,58.5,59,57.94,57.2,57.2,57.95,57.28,56.23,53.75,55.85,55.35
949,65.63,59.68,56.5,56.5,58.7,58.68,58.5,59.025,58,57.23,57.23,57.9,57.28,56.3,53.85,55.93,55.45
950,64.55,58.7,55.44,55.44,57.58,57.7,57.38,57.875,56.72,56.35,56.35,56.575,56.15,55.13,52.63,54.7,54.23
951,63.05,57.83,54.28,54.28,56.43,56.5,56.15,56.675,55.66,55.13,55.13,55.35,54.65,53.78,51.25,53.1,52.75
952,62.53,57.55,54.08,54.08,56.23,56,55.75,56.275,55.34,54.58,54.58,55,54.38,53.43,50.78,52.65,52.35
953,62.33,57.3,53.98,53.98,56.18,55.9,55.5,56.225,55.18,54.18,54.18,54.825,54.23,53.18,50.73,52.55,52.25
954,62.3,57.28,53.84,53.84,55.95,55.85,55.43,56.1,55.02,54.05,54.05,54.775,53.98,52.98,50.55,52.35,52.05
955,62.23,57.08,53.72,53.72,55.68,55.78,55.3,55.825,54.84,53.98,53.98,54.575,53.75,52.75,50.33,52.18,51.8
956,62.15,56.65,53.26,53.26,55.43,55.4,54.98,55.525,54.42,53.8,53.8,54.325,53.45,52.4,50.1,51.7,51.58
957,61.93,56.45,53.04,53.04,55,55.05,54.8,55.275,54.18,53.48,53.48,53.925,52.98,52,49.73,51.3,51.13
958,61.55,56.28,52.88,52.88,54.83,54.7,54.38,54.95,53.9,53.25,53.25,53.65,52.7,51.53,49.43,50.85,50.9
959,61.23,56.15,52.6,52.6,54.55,54.58,54.13,54.725,53.72,52.9,52.9,53.5,52.58,51.33,49.13,50.43,50.53
960,61.03,55.9,52.34,52.34,54.5,54.33,54.03,54.5,53.58,52.65,52.65,53.175,52.35,50.98,48.85,50.33,50.35
961,60.8,55.78,52.24,52.24,54.28,54.18,53.85,54.35,53.42,52.48,52.48,53.075,52.23,50.9,48.7,50.08,50.13
962,60.65,55.68,52.12,52.12,54.15,54.1,53.7,54.175,53.28,52.25,52.25,53.025,52.13,50.85,48.6,49.98,49.93
